time,action,Xpos,Xangle,Xvelocity,Xangular_velocity,Ypos,Yangle,Yvelocity,Yangular_velocity,noise1,noise2,noise3,noise4
2.38,0.0,-1.414905,3.409235,-0.603534,-0.598763,-1.427089,3.395996,-0.614646,-0.723182,-0.304364,-0.799668,-1.357179,1.177073
2.4,0.0,-1.427089,3.395996,-0.614646,-0.723182,-1.439484,3.380391,-0.624681,-0.835103,0.386472,-2.152045,0.68189,0.089885
2.42,0.0,-1.439484,3.380391,-0.624681,-0.835103,-1.452068,3.36268,-0.633542,-0.933672,0.582628,1.960224,-1.694188,-0.525273
2.44,0.0,-1.452068,3.36268,-0.633542,-0.933672,-1.464817,3.343138,-0.641137,-1.018166,-0.073302,0.29449,-0.065067,1.020135
2.46,0.0,-1.464817,3.343138,-0.641137,-1.018166,-1.477704,3.322052,-0.647381,-1.088018,0.275884,2.012153,1.573831,-0.298031
2.48,0.0,-1.477704,3.322052,-0.647381,-1.088018,-1.490703,3.299718,-0.652203,-1.142823,0.801554,0.67979,2.309264,0.697314
2.5,0.0,-1.490703,3.299718,-0.652203,-1.142823,-1.503783,3.27644,-0.655548,-1.182367,-1.64816,-0.817639,-0.701379,1.682298
2.52,0.0,-1.503783,3.27644,-0.655548,-1.182367,-1.516915,3.252525,-0.657384,-1.206628,1.422097,-1.960833,0.263794,-0.503812
2.54,0.0,-1.516915,3.252525,-0.657384,-1.206628,-1.530068,3.228276,-0.657708,-1.215791,-0.131256,1.115966,-0.261797,0.560449
2.56,0.238337,-1.530068,3.228276,-0.657708,-1.215791,-1.542816,3.204911,-0.616936,-1.118992,-0.387468,-0.102205,-0.291627,1.2106
2.58,0.0,-1.542816,3.204911,-0.616936,-1.118992,-1.555136,3.182659,-0.614826,-1.10411,-1.614342,1.156553,0.111549,-1.314262
2.6,0.0,-1.555136,3.182659,-0.614826,-1.10411,-1.567401,3.16083,-0.611449,-1.076744,-0.199003,1.24824,0.078054,-0.106377
2.62,0.0,-1.567401,3.16083,-0.611449,-1.076744,-1.579586,3.139667,-0.606892,-1.037717,0.490636,-1.364484,-2.254449,0.288847
2.64,0.0,-1.579586,3.139667,-0.606892,-1.037717,-1.591669,3.119393,-0.601258,-0.987982,-1.467952,0.357757,-1.033076,-0.341999
2.66,0.0,-1.591669,3.119393,-0.601258,-0.987982,-1.60363,3.100212,-0.594663,-0.928598,0.085056,1.797828,-1.563737,-1.068352
2.68,0.0,-1.60363,3.100212,-0.594663,-0.928598,-1.61545,3.082305,-0.587234,-0.860702,2.491072,0.0096,-0.362146,1.487144
2.7,0.0,-1.61545,3.082305,-0.587234,-0.860702,-1.627115,3.065832,-0.5791,-0.785487,-0.036804,0.136388,1.172922,0.273874
2.72,0.0,-1.627115,3.065832,-0.5791,-0.785487,-1.63861,3.050927,-0.570394,-0.704181,-1.588048,-0.90324,-1.052344,0.372454
2.74,0.0,-1.63861,3.050927,-0.570394,-0.704181,-1.649927,3.037698,-0.561246,-0.618017,-0.410353,-0.694896,0.394036,-1.851386
2.76,0.0,-1.649927,3.037698,-0.561246,-0.618017,-1.661058,3.02623,-0.551782,-0.528224,-0.669756,0.889789,-1.33128,-0.133011
2.78,0.0,-1.661058,3.02623,-0.551782,-0.528224,-1.671997,3.016585,-0.542122,-0.436005,-0.746331,0.614505,-1.71187,-0.52766
2.8,0.0,-1.671997,3.016585,-0.542122,-0.436005,-1.682742,3.008798,-0.53238,-0.342528,-0.38821,-1.24155,-0.885391,-0.79402
2.82,0.0,-1.682742,3.008798,-0.53238,-0.342528,-1.693293,3.002885,-0.522659,-0.248915,-0.16917,-2.153751,1.65224,0.613723
2.84,0.0,-1.693293,3.002885,-0.522659,-0.248915,-1.70365,2.998835,-0.513058,-0.156232,-0.118203,-1.360812,-0.075955,-1.168206
2.86,0.0,-1.70365,2.998835,-0.513058,-0.156232,-1.713816,2.996622,-0.503668,-0.065487,-0.890626,-1.244048,0.403386,-0.133817
2.88,-0.79187,-1.713816,2.996622,-0.503668,-0.065487,-1.72511,2.993178,-0.625519,-0.277079,-0.213068,1.48922,0.209163,-2.042643
2.9,0.0,-1.72511,2.993178,-0.625519,-0.277079,-1.737516,2.988637,-0.615105,-0.177224,-1.326217,-0.374102,0.300924,-1.056371
2.92,0.0,-1.737516,2.988637,-0.615105,-0.177224,-1.749716,2.986076,-0.604912,-0.079365,1.378129,0.182501,0.15881,0.848496
2.94,0.0,-1.749716,2.986076,-0.604912,-0.079365,-1.761715,2.985443,-0.595028,0.015484,-0.119769,-0.648889,0.485808,0.41017
2.96,0.0,-1.761715,2.985443,-0.595028,0.015484,-1.77352,2.986669,-0.585534,0.106386,0.793807,-1.50705,1.55853,0.036527
2.98,0.0,-1.77352,2.986669,-0.585534,0.106386,-1.785139,2.989666,-0.576505,0.192482,0.663432,-2.256724,-1.365008,-0.935838
